name,icon,class,cost,strength,health,tribe,trait,type,rarity,set,description
2nd-Best Taco of All Time,2nd-Best_Taco_of_All_TimeH.webp,Solar,3,,,,"Heal, Draw",Trick,Super-Rare,Premium,
Admiral Navy Bean,Admiral_Navy_BeanH.webp,Smarty,1,1,1,Bean,"Amphibious, Team-Up",Plant,Rare,Premium,
Aloesaurus,AloesaurusH.webp,Solar,5,4,7,"Cactus, Animal","Dino-Roar, Heal",Plant,Legendary,Triassic,
Apotatosaurus,ApotatosaurusH.webp,Mega-Grow,6,5,5,"Root, Animal","Untrickable, Conjure, Dino-Roar",Plant,Legendary,Triassic,
Apple-Saucer,Apple-SaucerH.webp,Solar,2,3,1,Fruit,Strikethrough,Plant,Uncommon,Galactic,
Astro Vera,Astro_VeraH.webp,Solar,8,5,5,Cactus,,Plant,Legendary,Galactic,
Astro-Shroom,Astro-ShroomH.webp,Kabloom,1,1,1,Mushroom,Bullseye,Plant,Super-Rare,Galactic,He's had good meetings with a lot of smaller asteroids. They really made an impression.
Astrocado,AstrocadoH.webp,Solar,5,5,3,Fruit,Strikethrough,Plant,Legendary,Galactic,
Astrocado Pit,Astrocado_PitH.webp,Solar,1,0,1,Seed,,Plant,Token,Token,Getting defeated is the pits.
Atomic Bombegranate,Atomic_BombegranateH.webp,Kabloom,5,5,2,Fruit,,Plant,Event,Event,"Remember: Never ever EVER split a fruit. Oh, hold on, actually fruits are ok, just never split an atom."
Bamboozle,BamboozleH.webp,Mega-Grow,6,6,6,"Leafy, Root","Evolution, Draw",Plant,Rare,Colossal,Only among the hyper-evolved Plants of Hollow Earth can you be outwitted by a tree.
Banana Bomb,Banana_BombH.webp,Kabloom,1,,,Fruit,,Trick,Uncommon,Galactic,Beware fruity vengeance from above.
Banana Launcher,Banana_LauncherH.webp,Kabloom,2,0,3,Fruit,,Plant,Super-Rare,Galactic,He only knows one word. But it's a good one.
Banana Peel,Banana_PeelH.webp,Mega-Grow,2,,,Fruit,Conjure,Trick,Rare,Galactic,"A slapstick comedy staple that, somehow, the Zombies never see coming."
Banana Split,Banana_SplitH.webp,Mega-Grow,4,4,5,Fruit,,Plant,Event,Event,
Bananasaurus Rex,Bananasaurus_RexH.webp,Mega-Grow,4,3,3,"Animal, Fruit","Double Strike, Dino-Roar",Plant,Legendary,Premium,
Bean Counter,Bean_CounterH.webp,Smarty,4,1,1,Bean,Team-Up,Plant,Super-Rare,Premium,
Bellflower,BellflowerH.webp,Solar,1,1,1,Flower,,Plant,Common,Basic,
Berry Angry,Berry_AngryH.webp,Kabloom,3,,,Berry,,Trick,Uncommon,Premium,"""Now you've done it! That's the last straw! I'm gonna berry you!"""
