name,icon,class,cost,strength,health,tribe,trait,type,rarity,set,description
Abracadaver,AbracadaverH.webp,Crazy,3,3,3,"Mustache, Pet",Gravestone,Zombie,Super-Rare,Premium,"Keeps forgetting that the magic word is ""Please."""
Acid Rain,Acid_RainH.webp,Beastly,1,,,Superpower,,Trick,Super-Rare,Superpower,"Strong enough to destroy a Plant, but pH-balanced for a Zombie."
Aerobics Instructor,Aerobics_InstructorH.webp,Crazy,2,2,3,Dancing,,Zombie,Super-Rare,Premium,Aerobics really bring the dead to life.
Alien Ooze,Alien_OozeH.webp,Beastly,3,,,Monster,,Trick,Uncommon,Galactic,Oozin' for a bruisin!
All-Star Zombie,All-Star_ZombieH.webp,Hearty,5,4,6,Sports,"Frenzy, Untrickable, Armored",Zombie,Super-Rare,Premium,Gives 110% on the field. Has no idea what a football is.
Ancient Vimpire,Ancient_VimpireH.webp,Beastly,4,3,4,"Imp, Monster","Frenzy, Amphibious",Zombie,Super-Rare,Colossal,Vimpirism - an ancient curse evolved from the dawn of time.
Area 22,Area_22H.webp,Beastly,3,,,Science,Frenzy,Environment,Super-Rare,Galactic,"""Zombies from outer space? What an absurd conspiracy theory! Now move along. Nothing to see here."" - Dr. Zomboss"
Arm Wrestler,Arm_WrestlerH.webp,Hearty,1,2,2,Sports,,Zombie,Uncommon,Premium,"Lots of carbs, lots of protein, and five brain shakes a day."
B-flat,B-flatH.webp,Beastly,3,,,Dancing,,Trick,Uncommon,Premium,Just wait until you C-Sharp.
Backup Dancer,Backup_DancerH.webp,Crazy,1,1,1,"Dancing, Mustache",,Zombie,Basic,Common,Spent six years perfecting his art at the Chewliard School for the Performing Arts.
Backyard Bounce,Backyard_BounceH.webp,Sneaky,3,,,"Party, Sports",Bounce,Trick,Uncommon,Premium,Zombies love trampolines. Not everyone knows that.
Bad Moon Rising,Bad_Moon_RisingH.webp,Brainy,7,,,,,Trick,Event,Event,Sometimes a full moon turns bad dreams into horrible nightmares.
Barrel of Barrels,Barrel_of_BarrelsH.webp,Sneaky,2,,,Barrel,"Deadly, Conjure",Trick,Uncommon,Colossal,"If you put a container in another container, you'll have twice the storage space!"
Barrel of Deadbeards,Barrel_of_DeadbeardsH.webp,Crazy,2,0,1,"Pirate, Barrel",,Zombie,Legendary,Premium,"No monkeys, just Zombies."
Barrel Roller Zombie,Barrel_Roller_ZombieH.webp,Sneaky,4,3,3,"Pirate, Barrel",Deadly,Zombie,Rare,Premium,The second-most affordable way to transport Imps.
Baseball Zombie,Baseball_ZombieH.webp,Hearty,1,1,1,Sports,,Zombie,Basic,Common,Home run. Running for your home. It's all the same to him.
Beam Me Up,Beam_Me_UpH.webp,Brainy,2,,,Science,,Trick,Uncommon,Galactic,A sure way to get Space Cadet's attention.
Binary Stars,Binary_StarsH.webp,Crazy,5,3,3,Dancing,Gravestone,Zombie,Legendary,Galactic,"He's a Gemini and so is she. Which explains so much, right?"
Biodome Botanist,Biodome_BotanistH.webp,Beastly,2,2,3,"Mustache, Science",,Zombie,Rare,Galactic,"Growing Plants in Space? Some of his fellow Zombies think he's crazy, but others appreciate the effort."
Black Hole,Black_HoleH.webp,Hearty,1,,,,,Environment,Super-Rare,Galactic,Plants usually like being planted in holes. Black holes? Not so much.
Blowgun Imp,Blowgun_ImpH.webp,Sneaky,5,3,4,"Pirate, Imp","Deadly, Strikethrough, Evolution, Bounce",Zombie,Rare,Colossal,"Much more successful than his cousin, the Inhalegun Imp."
Bobblehead,BobbleheadH.webp,Crazy,3,3,3,"Dancing, Mustache",Evolution,Zombie,Legendary,Triassic,"He offers a special deal: Two of his heads for one of yours. Anyway you slice it, you still come out a head."
Bonus Track Buckethead,Bonus_Track_BucketheadH.webp,Hearty,4,4,4,Dancing,Armored,Zombie,Event,Event,He put all his favorite songs on that mixtape. If only he could find the right Zombie to give it to.
Brain Vendor,Brain_VendorH.webp,Brainy,3,2,1,"Gourmet, Sports",,Zombie,Uncommon,Premium,Sells only 100% organic brains.
